English,Thai
wake (up) ,ตื่นนอน)
walk  ,เดิน
walking ,ที่เดิน
wall ,ผนัง
wallet ,กระเป๋าสตางค์
wander  ,เดิน
want ,ต้องการ
war ,สงคราม
warm  ,อบอุ่น
warmth ,ความอบอุ่น
warn ,เตือน
warning ,คำเตือน
wash ,ล้าง
washing ,การซัก
waste   ,ของเสีย
watch  ,ดู
water ,น้ำ
wave  ,คลื่น
way ,ทาง
we ,เรา
weak ,อ่อนแอ
weakness ,ความอ่อนแอ
wealth ,ความมั่งคั่ง
weapon ,อาวุธ
wear ,สวมใส่
weather ,สภาพอากาศ
web ,เว็บ
the Web ,เว็บ
website ,เว็บไซต์
wedding ,งานแต่งงาน
Wednesday ,วันพุธ
week ,สัปดาห์
weekend ,สุดสัปดาห์
weekly ,รายสัปดาห์
weigh ,ชั่งน้ำหนัก
weight ,น้ำหนัก
welcome ,ยินดีต้อนรับ
well,ดี
as well ,ได้เป็นอย่างดี
well known know,ที่รู้จักกันดีรู้
west   ,ทิศตะวันตก
western ,ตะวันตก
wet ,เปียก
what ,อะไร
whatever ,อะไรก็ตาม
wheel ,ล้อ
when ,เมื่อไหร่
whenever ,เมื่อไรก็ตาม
where  ,ที่ไหน
whereas ,แต่ทว่า
wherever ,ที่ไหนก็ตาม
whether ,ว่า
which,ที่
while  ,ในขณะที่
whilst ,ในขณะที่
whisper  ,กระซิบ
whistle  ,นกหวีด
white  ,ขาว
who ,Who
whoever ,ใครก็ตาม
whole  ,ทั้งหมด
whom ,ใคร
whose ,ใคร
why ,ทำไม
wide ,กว้าง
widely ,อย่างกว้างขวาง
width ,ความกว้าง
wife ,ภรรยา
wild ,ป่า
wildly ,ลำพอง
will modal  ,จะเป็นกิริยาช่วย
willing ,เต็มใจ
willingly ,เต็มใจ
unwilling ,ไม่เต็มใจ
unwillingly ,แกน
willingness ,ความเต็มใจ
win ,ชนะ
winning ,การชนะ
wind ,ลม
wind sth up,ลมฏขึ้น
window ,หน้าต่าง
wine ,ไวน์
wing ,ปีก
winner ,ผู้ชนะ
winter ,ฤดูหนาว
wire ,ลวด
wise ,ฉลาด
wish  ,ประสงค์
with ,กับ
withdraw ,ถอน
within ,ภายใน
without ,ไม่มี
witness  ,พยาน
woman ,หญิง
wonder ,น่าแปลกใจ
wonderful ,ยอดเยี่ยม
wood ,ไม้
wooden ,ทำด้วยไม้
wool ,ขนสัตว์
word ,คำ
work  ,งาน
working ,การทำงาน
worker ,ผู้ปฏิบัติงาน
world ,โลก
worry  ,กังวล
worrying ,น่าหนักใจ
worried ,กังวล
worse worst bad,ที่เลวร้ายยิ่งเลวร้ายที่เลวร้ายที่สุด
worship  ,นมัสการ
worth ,คุ้มค่า
would modal ,จะเป็นกิริยาช่วย
wound  ,บาดแผล
wounded ,คนบาดเจ็บ
wrap ,ห่อ
wrapping ,ห่อ
wrist ,ข้อมือ
write ,เขียน
writing ,การเขียน
written ,เขียน
writer ,นักเขียน
wrong  ,ไม่ถูกต้อง
go wrong,ผิดไป
wrongly ,อย่างผิดพลาด
yard ,ลาน
yawn  ,อ้าปากค้าง
yeah,ใช่
year ,ปี
yellow  ,สีเหลือง
yes ,ใช่
yesterday  ,เมื่อวาน
you ,คุณ
young ,หนุ่มสาว
your ,ของคุณ
yours ,ของคุณ
yourself ,ด้วยตัวคุณเอง
youth ,หนุ่ม
zone ,โซน
